34,$3.99,Survivalcraft,March 30 2015,1.27.4.0,15M,500000 - 1000000,Low Maturity,Action,Candy Rufus Games,https://play.google.com/store/apps/details?id=com.candyrufusgames.survivalcraft,com.candyrufusgames.survivalcraft
11,$2.99,Five Nights at Freddy's,December 2 2014,1.85,50M,500000 - 1000000,Medium Maturity,Action,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys,com.scottgames.fivenightsatfreddys
17,$0.59,The Room Two,October 28 2014,1.05,279M,100000 - 500000,Low Maturity,Puzzle,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom2,com.FireproofStudios.TheRoom2
15,$0.99,CounterSpy™,September 4 2014,1.0.110,263M,10000 - 50000,Medium Maturity,Arcade,PlayStation Mobile Inc.,https://play.google.com/store/apps/details?id=com.playstation.counterspy,com.playstation.counterspy
39,$0.99,MONOPOLY Millionaire,January 13 2014,1.7.4,251M,100000 - 500000,Everyone,Board,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.ea.monopolymillionaire_na,com.ea.monopolymillionaire_na
31,$3.75,ePSXe for Android,January 26 2015,1.9.26,3.3M,100000 - 500000,Everyone,Arcade,epsxe software s.l.,https://play.google.com/store/apps/details?id=com.epsxe.ePSXe,com.epsxe.ePSXe
58,$0.99,The Impossible Quiz!,March 12 2014,1,30M,50000 - 100000,Low Maturity,Puzzle,inXile entertainment,https://play.google.com/store/apps/details?id=net.inxile.tiq,net.inxile.tiq
18,$0.99,Dude Perfect,October 16 2013,1.4,16M,100000 - 500000,Low Maturity,Sports,Dude Perfect,https://play.google.com/store/apps/details?id=com.dudeperfect.dudeperfect,com.dudeperfect.dudeperfect
35,$0.99,Backflip Madness,August 10 2013,1.1.2,5.7M,100000 - 500000,Low Maturity,Arcade,Gamesoul Studio,https://play.google.com/store/apps/details?id=com.gamesoulstudio.backflipmadness,com.gamesoulstudio.backflipmadness
24,$0.99,The Room,January 15 2014,1.05,194M,1000000 - 5000000,Low Maturity,Puzzle,Fireproof Games,https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom,com.FireproofStudios.TheRoom
40,$6.99,The Sims™ 3,January 13 2014,1.5.21,102M,500000 - 1000000,Medium Maturity,Simulation,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.eamobile.sims3_na_qwf,com.eamobile.sims3_na_qwf
37,$1.99,Earn to Die,December 16 2014,1.0.19,50M,500000 - 1000000,Medium Maturity,Racing,Not Doppler,https://play.google.com/store/apps/details?id=com.notdoppler.earntodie,com.notdoppler.earntodie
26,$2.99,Trivia Crack (Ad free),May 6 2015,2.1.2,37M,100000 - 500000,Medium Maturity,Trivia,Etermax,https://play.google.com/store/apps/details?id=com.etermax.preguntados.pro,com.etermax.preguntados.pro
30,$4.99,NBA JAM by EA SPORTS™,April 28 2015,04.00.12,35M,100000 - 500000,Everyone,Sports,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.eamobile.nbajam_na_wf,com.eamobile.nbajam_na_wf
20,$6.99,Grand Theft Auto: San Andreas,March 21 2015,1.08,2.4G,500000 - 1000000,High Maturity,Action,Rockstar Games Inc.,https://play.google.com/store/apps/details?id=com.rockstargames.gtasa,com.rockstargames.gtasa
44,$2.99,Wheel of Fortune,November 12 2014,1.5.3,92M,100000 - 500000,Medium Maturity,Casual,Sony Pictures Television,https://play.google.com/store/apps/details?id=com.sonypicturestelevision.wheeloffortune30,com.sonypicturestelevision.wheeloffortune30
10,$0.15,Angry Birds Star Wars II,December 19 2014,1.8.1,49M,100000 - 500000,Everyone,Arcade,Rovio Entertainment Ltd.,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsstarwarsii.premium,com.rovio.angrybirdsstarwarsii.premium
