7,N/A,Snapchat,May 10 2015,9.7.3.0,14M,100000000 - 500000000,Medium Maturity,Social,Snapchat Inc.,https://play.google.com/store/apps/details?id=com.snapchat.android,com.snapchat.android
52,N/A,Geometry Dash Lite,February 4 2015,1.92,33M,50000000 - 100000000,Everyone,Arcade,RobTop Games,https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite,com.robtopx.geometryjumplite
27,N/A,The Weather Channel,April 27 2015,Varies with device,Varies with device,50000000 - 100000000,Low Maturity,Weather,The Weather Channel,https://play.google.com/store/apps/details?id=com.weather.Weather,com.weather.Weather
54,N/A,TouchPal Keyboard - Cute Emoji,May 13 2015,Varies with device,Varies with device,10000000 - 50000000,Low Maturity,Productivity,TouchPal,https://play.google.com/store/apps/details?id=com.cootek.smartinputv5,com.cootek.smartinputv5
44,N/A,Coin Dozer - Free Prizes!,April 22 2015,Varies with device,Varies with device,50000000 - 100000000,Low Maturity,Casino,Game Circus LLC,https://play.google.com/store/apps/details?id=com.leftover.CoinDozer,com.leftover.CoinDozer
25,N/A,Subway Surfers,April 16 2015,1.38.0,42M,100000000 - 500000000,Low Maturity,Arcade,Kiloo,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,com.kiloo.subwaysurf
12,N/A,MARVEL Future Fight,May 6 2015,1.1.2,38M,5000000 - 10000000,Low Maturity,Role Playing,Netmarble Games,https://play.google.com/store/apps/details?id=com.netmarble.mherosgb,com.netmarble.mherosgb
42,N/A,Trivia Crack,May 6 2015,Varies with device,Varies with device,50000000 - 100000000,Medium Maturity,Trivia,Etermax,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,com.etermax.preguntados.lite
1,N/A,Messenger,May 12 2015,Varies with device,Varies with device,500000000 - 1000000000,Medium Maturity,Communication,Facebook,https://play.google.com/store/apps/details?id=com.facebook.orca,com.facebook.orca
2,N/A,Facebook,May 13 2015,Varies with device,Varies with device,1000000000 - 5000000000,Medium Maturity,Social,Facebook,https://play.google.com/store/apps/details?id=com.facebook.katana,com.facebook.katana
31,N/A,DU Battery Saver丨Power Doctor,May 9 2015,3.9.9.3,6.0M,100000000 - 500000000,Everyone,Productivity,DU APPS STUDIO,https://play.google.com/store/apps/details?id=com.dianxinos.dxbs,com.dianxinos.dxbs
60,N/A,GO Keyboard - Emoji  Emoticons,May 13 2015,Everyone,10000000 - 50000000,2.1 and up,N/A,Tools,GO Keyboard Dev Team,https://play.google.com/store/apps/details?id=com.jb.emoji.gokeyboard,com.jb.emoji.gokeyboard
58,N/A,Boom Beach,May 11 2015,21.167,90M,10000000 - 50000000,Low Maturity,Strategy,Supercell,https://play.google.com/store/apps/details?id=com.supercell.boombeach,com.supercell.boombeach
24,N/A,ZEDGE™ Ringtones & Wallpapers,April 27 2015,Varies with device,Varies with device,100000000 - 500000000,Medium Maturity,Personalization,Zedge,https://play.google.com/store/apps/details?id=net.zedge.android,net.zedge.android
10,N/A,Clean Master (Speed Booster),May 12 2015,Varies with device,Varies with device,100000000 - 500000000,Low Maturity,Tools,Cheetah Mobile,https://play.google.com/store/apps/details?id=com.cleanmaster.mguard,com.cleanmaster.mguard
28,N/A,Juice Jam,May 13 2015,1.5.261,40M,1000000 - 5000000,Everyone,Puzzle,SGN,https://play.google.com/store/apps/details?id=air.com.sgn.juicejam.gp,air.com.sgn.juicejam.gp
16,N/A,Crossy Road,April 23 2015,1.0.9,29M,10000000 - 50000000,Medium Maturity,Action,Yodo1 Games,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad,com.yodo1.crossyroad
17,N/A,Kik,May 11 2015,8.3.0.678,14M,50000000 - 100000000,Medium Maturity,Communication,Kik Interactive,https://play.google.com/store/apps/details?id=kik.android,kik.android
15,N/A,Amazon Shopping,April 29 2015,Low Maturity,10000000 - 50000000,2.3 and up,N/A,Shopping,Amazon Mobile LLC,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,com.amazon.mShop.android.shopping
4,N/A,Instagram,May 8 2015,Varies with device,Varies with device,500000000 - 1000000000,Medium Maturity,Social,Instagram,https://play.google.com/store/apps/details?id=com.instagram.android,com.instagram.android
56,N/A,Flipagram,May 2 2015,Low Maturity,10000000 - 50000000,4.0.3 and up,Flipagram, inc.,Photography,Flipagram inc.,https://play.google.com/store/apps/details?id=com.cheerfulinc.flipagram,com.cheerfulinc.flipagram
5,N/A,Dubsmash,May 12 2015,Medium Maturity,50000000 - 100000000,4.1 and up,N/A,Media & Video,Mobile Motion GmbH,https://play.google.com/store/apps/details?id=com.mobilemotion.dubsmash,com.mobilemotion.dubsmash
38,N/A,Twitter,May 11 2015,Varies with device,Varies with device,100000000 - 500000000,Medium Maturity,Social,Twitter Inc.,https://play.google.com/store/apps/details?id=com.twitter.android,com.twitter.android
51,N/A,Google Earth,November 11 2014,Varies with device,Varies with device,100000000 - 500000000,Low Maturity,Travel & Local,Google Inc.,https://play.google.com/store/apps/details?id=com.google.earth,com.google.earth
26,N/A,8 Ball Pool,April 23 2015,3.2.5,29M,50000000 - 100000000,Low Maturity,Sports,Miniclip.com,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool,com.miniclip.eightballpool
3,N/A,Pandora® Radio,May 7 2015,Varies with device,Varies with device,100000000 - 500000000,Everyone,Music & Audio,Pandora,https://play.google.com/store/apps/details?id=com.pandora.android,com.pandora.android
32,N/A,SoundCloud - Music & Audio,May 7 2015,Varies with device,Varies with device,50000000 - 100000000,Medium Maturity,Music & Audio,SoundCloud,https://play.google.com/store/apps/details?id=com.soundcloud.android,com.soundcloud.android
43,N/A,eBay,March 31 2015,Varies with device,Varies with device,100000000 - 500000000,Medium Maturity,Shopping,eBay Mobile,https://play.google.com/store/apps/details?id=com.ebay.mobile,com.ebay.mobile
20,N/A,Skype - free IM & video calls,April 13 2015,Varies with device,Varies with device,500000000 - 1000000000,Medium Maturity,Communication,Skype,https://play.google.com/store/apps/details?id=com.skype.raider,com.skype.raider
47,N/A,Wish - Shopping Made Fun,April 10 2015,3.11.6,8.4M,10000000 - 50000000,Low Maturity,Shopping,Wish Inc.,https://play.google.com/store/apps/details?id=com.contextlogic.wish,com.contextlogic.wish
49,N/A,Wallapop,May 13 2015,1.8.4.2,9.4M,5000000 - 10000000,Medium Maturity,Shopping,Wallapop,https://play.google.com/store/apps/details?id=com.wallapop,com.wallapop
21,N/A,Clash of Clans,May 7 2015,7.65.5,43M,100000000 - 500000000,Medium Maturity,Strategy,Supercell,https://play.google.com/store/apps/details?id=com.supercell.clashofclans,com.supercell.clashofclans
