56,N/A,Ultimate Soccer - Football,May 12 2015,1.1.0,15M,1000000 - 5000000,Everyone,Sports,Mouse Games,https://play.google.com/store/apps/details?id=com.cg.football,com.cg.football
3,N/A,MARVEL Future Fight,May 6 2015,1.1.2,38M,5000000 - 10000000,Low Maturity,Role Playing,Netmarble Games,https://play.google.com/store/apps/details?id=com.netmarble.mherosgb,com.netmarble.mherosgb
22,N/A,Geometry Dash Lite,February 4 2015,1.92,33M,50000000 - 100000000,Everyone,Arcade,RobTop Games,https://play.google.com/store/apps/details?id=com.robtopx.geometryjumplite,com.robtopx.geometryjumplite
18,N/A,Coin Dozer - Free Prizes!,April 22 2015,Varies with device,Varies with device,50000000 - 100000000,Low Maturity,Casino,Game Circus LLC,https://play.google.com/store/apps/details?id=com.leftover.CoinDozer,com.leftover.CoinDozer
46,N/A,My Talking Tom,April 9 2015,Varies with device,Varies with device,100000000 - 500000000,Everyone,Casual,Outfit7,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfree,com.outfit7.mytalkingtomfree
8,N/A,Subway Surfers,April 16 2015,1.38.0,42M,100000000 - 500000000,Low Maturity,Arcade,Kiloo,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,com.kiloo.subwaysurf
44,N/A,Five Nights at Freddy's 3 Demo,April 2 2015,1.07,50M,10000000 - 50000000,Medium Maturity,Action,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf3demo,com.scottgames.fnaf3demo
28,N/A,Fruit Ninja Free,May 2 2015,2.2.7,91M,100000000 - 500000000,Everyone,Arcade,Halfbrick Studios,https://play.google.com/store/apps/details?id=com.halfbrick.fruitninjafree,com.halfbrick.fruitninjafree
12,N/A,Word Academy,May 13 2015,2.3 and up,1000000 - 5000000,1.0.6,$0.99 - $12.99 per item,Word,SCIMOB,https://play.google.com/store/apps/details?id=com.scimob.wordacademy,com.scimob.wordacademy
6,N/A,Clash of Clans,May 7 2015,7.65.5,43M,100000000 - 500000000,Medium Maturity,Strategy,Supercell,https://play.google.com/store/apps/details?id=com.supercell.clashofclans,com.supercell.clashofclans
33,N/A,Truck Driver 3D: Offroad,April 29 2015,1.5,50M,1000000 - 5000000,Everyone,Racing,Rooster Games,https://play.google.com/store/apps/details?id=com.roostergames.hillclimbtruckracing3,com.roostergames.hillclimbtruckracing3
23,N/A,Boom Beach,May 11 2015,21.167,90M,10000000 - 50000000,Low Maturity,Strategy,Supercell,https://play.google.com/store/apps/details?id=com.supercell.boombeach,com.supercell.boombeach
10,N/A,Juice Jam,May 13 2015,1.5.261,40M,1000000 - 5000000,Everyone,Puzzle,SGN,https://play.google.com/store/apps/details?id=air.com.sgn.juicejam.gp,air.com.sgn.juicejam.gp
4,N/A,Crossy Road,April 23 2015,1.0.9,29M,10000000 - 50000000,Medium Maturity,Action,Yodo1 Games,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad,com.yodo1.crossyroad
59,N/A,The Sims™ FreePlay,April 27 2015,5.13.0,13M,10000000 - 50000000,Low Maturity,Simulation,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.ea.games.simsfreeplay_na,com.ea.games.simsfreeplay_na
54,N/A,Pou,January 14 2015,1.4.67,20M,100000000 - 500000000,Everyone,Casual,Zakeh,https://play.google.com/store/apps/details?id=me.pou.app,me.pou.app
35,N/A,Surgery Simulator,May 6 2015,1.0.4,19M,10000000 - 50000000,High Maturity,Casual,6677g.com,https://play.google.com/store/apps/details?id=com.tp.android.surgerysim,com.tp.android.surgerysim
60,N/A,Slot Galaxy Free Slot Machines,March 29 2015,Medium Maturity,5000000 - 10000000,2.3 and up,Tap Slots,Casino,Tap Slots,https://play.google.com/store/apps/details?id=air.com.slotgalaxy,air.com.slotgalaxy
49,N/A,Slots Tournament,May 11 2015,1.3.057,30M,500000 - 1000000,Medium Maturity,Casino,luckygames,https://play.google.com/store/apps/details?id=com.luckygame.slotstournament,com.luckygame.slotstournament
51,N/A,Russian Crime Simulator,April 10 2015,1.0,46M,1000000 - 5000000,Medium Maturity,Action,Mine Games Craft,https://play.google.com/store/apps/details?id=com.mgc.russian.crime.simulator,com.mgc.russian.crime.simulator
50,N/A,East Legend,May 8 2015,1.1.5,43M,500000 - 1000000,Medium Maturity,Role Playing,Com2uS,https://play.google.com/store/apps/details?id=com.com2us.projecteast.normal2.freefull.google.global.android.common,com.com2us.projecteast.normal2.freefull.google.global.android.common
55,N/A,DEER HUNTER 2014,March 24 2015,2.9.0,49M,50000000 - 100000000,Medium Maturity,Action,Glu,https://play.google.com/store/apps/details?id=com.glu.deerhunt2,com.glu.deerhunt2
9,N/A,8 Ball Pool,April 23 2015,3.2.5,29M,50000000 - 100000000,Low Maturity,Sports,Miniclip.com,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool,com.miniclip.eightballpool
29,N/A,Slots - Big Win Casino™,April 26 2015,1.20,40M,5000000 - 10000000,Medium Maturity,Casino,FiveStar Games,https://play.google.com/store/apps/details?id=com.fivestargames.slots,com.fivestargames.slots
57,N/A,Dumb Ways to Die 2: The Games,December 9 2014,1.1.1,37M,10000000 - 50000000,Medium Maturity,Casual,Metro Trains,https://play.google.com/store/apps/details?id=air.au.com.metro.DumbWaysToDie2,air.au.com.metro.DumbWaysToDie2
58,N/A,War of Gods,May 7 2015,1.09,35M,10 - 50,Low Maturity,Role Playing,angames inc,https://play.google.com/store/apps/details?id=com.war.gods,com.war.gods
37,N/A,Don't Tap The White Tile,May 13 2015,2.3 and up,50000000 - 100000000,3.4.4.2,Clean Master Games,Arcade,Clean Master Games,https://play.google.com/store/apps/details?id=com.umonistudio.tile,com.umonistudio.tile
42,N/A,Cookie Jam,April 28 2015,Everyone,10000000 - 50000000,2.3 and up,SGN,Puzzle,SGN,https://play.google.com/store/apps/details?id=air.com.sgn.cookiejam.gp,air.com.sgn.cookiejam.gp
17,N/A,Trivia Crack,May 6 2015,Varies with device,Varies with device,50000000 - 100000000,Medium Maturity,Trivia,Etermax,https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,com.etermax.preguntados.lite
36,N/A,ZigZag,February 26 2015,1.2,17M,10000000 - 50000000,Everyone,Arcade,Ketchapp,https://play.google.com/store/apps/details?id=com.ketchapp.zigzaggame,com.ketchapp.zigzaggame
34,N/A,Hill Climb Racing,April 8 2015,Varies with device,Varies with device,100000000 - 500000000,Low Maturity,Racing,Fingersoft,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb,com.fingersoft.hillclimb
5,N/A,Candy Crush Soda Saga,May 12 2015,1.42.20,49M,100000000 - 500000000,Everyone,Casual,King,https://play.google.com/store/apps/details?id=com.king.candycrushsodasaga,com.king.candycrushsodasaga
25,N/A,Solitaire,April 29 2015,3.3.0,11M,50000000 - 100000000,Everyone,Card,MobilityWare,https://play.google.com/store/apps/details?id=com.mobilityware.solitaire,com.mobilityware.solitaire
53,N/A,Jelly Jump,May 2 2015,1.2,30M,10000000 - 50000000,Everyone,Arcade,Ketchapp,https://play.google.com/store/apps/details?id=com.ketchapp.jellyjump,com.ketchapp.jellyjump
2,N/A,Criminal Case,April 29 2015,Medium Maturity,10000000 - 50000000,4.0 and up,Pretty Simple,Adventure,Pretty Simple,https://play.google.com/store/apps/details?id=com.prettysimple.criminalcaseandroid,com.prettysimple.criminalcaseandroid
15,N/A,Game of War - Fire Age,April 20 2015,High Maturity,10000000 - 50000000,2.3 and up,Machine Zone, Inc.,Strategy,Machine Zone Inc.,https://play.google.com/store/apps/details?id=com.machinezone.gow,com.machinezone.gow
31,N/A,Angry Birds,December 11 2014,5.0.2,48M,100000000 - 500000000,Everyone,Arcade,Rovio Entertainment Ltd.,https://play.google.com/store/apps/details?id=com.rovio.angrybirds,com.rovio.angrybirds
13,N/A,Temple Run 2,April 20 2015,1.15.1,45M,100000000 - 500000000,Low Maturity,Action,Imangi Studios,https://play.google.com/store/apps/details?id=com.imangi.templerun2,com.imangi.templerun2
39,N/A,TETRIS®,April 29 2015,1.6.00,34M,10000000 - 50000000,Low Maturity,Puzzle,Electronic Arts Inc,https://play.google.com/store/apps/details?id=com.ea.game.tetris2011_na,com.ea.game.tetris2011_na
47,N/A,My Talking Angela,May 1 2015,1.4.2,72M,50000000 - 100000000,Everyone,Casual,Outfit7,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree,com.outfit7.mytalkingangelafree
43,N/A,YAHTZEE® With Buddies,May 12 2015,4.3.1,12M,1000000 - 5000000,Medium Maturity,Board,Scopely,https://play.google.com/store/apps/details?id=com.withbuddies.yahtzee,com.withbuddies.yahtzee
45,N/A,Glass Tower,May 11 2015,1.0.3,36M,100000 - 500000,Low Maturity,Puzzle,Gadgetcrafts,https://play.google.com/store/apps/details?id=com.gadgetcrafts.gt5,com.gadgetcrafts.gt5
52,N/A,Hungry Shark Evolution,May 13 2015,Varies with device,Varies with device,50000000 - 100000000,Medium Maturity,Arcade,Future Games of London,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution,com.fgol.HungrySharkEvolution
32,N/A,Extreme Car Driving Simulator,April 15 2015,Medium Maturity,10000000 - 50000000,2.3.3 and up,Turbo GT Racing Games,Racing,Turbo GT Racing Games,https://play.google.com/store/apps/details?id=com.aim.racing,com.aim.racing
7,N/A,Cooking Fever,April 27 2015,1.2.0,46M,5000000 - 10000000,Low Maturity,Arcade,Nordcurrent,https://play.google.com/store/apps/details?id=com.nordcurrent.canteenhd,com.nordcurrent.canteenhd
1,N/A,MORTAL KOMBAT X,May 4 2015,High Maturity,1000000 - 5000000,4.0 and up,Warner Bros. International Enterprises,Action,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.mkx,com.wb.goog.mkx
21,N/A,Flow Free,December 7 2014,2.9,7.9M,50000000 - 100000000,Everyone,Puzzle,Big Duck Games LLC,https://play.google.com/store/apps/details?id=com.bigduckgames.flow,com.bigduckgames.flow
27,N/A,Word Search,December 9 2014,WS1-1.2.5,9.5M,5000000 - 10000000,Medium Maturity,Word,Pink Pointer,https://play.google.com/store/apps/details?id=com.pinkpointer.wordsearch,com.pinkpointer.wordsearch
11,N/A,Candy Crush Saga,May 7 2015,1.52.2.0,46M,100000000 - 500000000,Everyone,Casual,King,https://play.google.com/store/apps/details?id=com.king.candycrushsaga,com.king.candycrushsaga
38,N/A,Temple Run,December 1 2014,1.6.1,26M,100000000 - 500000000,Low Maturity,Arcade,Imangi Studios,https://play.google.com/store/apps/details?id=com.imangi.templerun,com.imangi.templerun
20,N/A,Empires and Allies,May 10 2015,1.5.887711.production,101M,500000 - 1000000,Medium Maturity,Strategy,Zynga,https://play.google.com/store/apps/details?id=com.zynga.empires2,com.zynga.empires2
48,N/A,Solitaire,February 23 2015,2.15,4.7M,5000000 - 10000000,Low Maturity,Card,Harpan LLC,https://play.google.com/store/apps/details?id=com.kathleenOswald.solitaireGooglePlay,com.kathleenOswald.solitaireGooglePlay
19,N/A,Waldo & Friends,May 6 2015,3.5.3,43M,1000000 - 5000000,Low Maturity,Puzzle,Ludia Inc.,https://play.google.com/store/apps/details?id=com.ludia.waldo3free,com.ludia.waldo3free
16,N/A,Archery Master 3D,April 27 2015,1.4,16M,5000000 - 10000000,Everyone,Sports,TerranDroid,https://play.google.com/store/apps/details?id=com.junerking.archery,com.junerking.archery
40,N/A,Bakery Story: Poet's Cafe,May 1 2015,1.5.5.9,20M,100000 - 500000,Everyone,Casual,Storm8 Studios,https://play.google.com/store/apps/details?id=com.teamlava.bakerystory45,com.teamlava.bakerystory45
24,N/A,EA SPORTS UFC®,May 7 2015,1.1.763732,433M,5000000 - 10000000,Medium Maturity,Sports,ELECTRONIC ARTS,https://play.google.com/store/apps/details?id=com.ea.game.easportsufc_row,com.ea.game.easportsufc_row
41,N/A,MiniCraft 2,April 3 2015,1.0.3,23M,10000000 - 50000000,Low Maturity,Arcade,SandStorm Earl,https://play.google.com/store/apps/details?id=net.SandStormEarl.MC2,net.SandStormEarl.MC2
26,N/A,Farm Heroes Saga,May 13 2015,2.27.2,44M,100000000 - 500000000,Everyone,Casual,King,https://play.google.com/store/apps/details?id=com.king.farmheroessaga,com.king.farmheroessaga
30,N/A,Panda Pop,May 5 2015,Everyone,10000000 - 50000000,4.0 and up,SGN,Puzzle,SGN,https://play.google.com/store/apps/details?id=com.sgn.pandapop.gp,com.sgn.pandapop.gp
14,N/A,Despicable Me,May 13 2015,Low Maturity,100000000 - 500000000,2.3 and up,Gameloft,Casual,Gameloft,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM,com.gameloft.android.ANMP.GloftDMHM
86,N/A,Spades Plus,May 6 2015,1.12.1,18M,1000000 - 5000000,Medium Maturity,Card,Peak Games,https://play.google.com/store/apps/details?id=net.peakgames.mobile.spades.android,net.peakgames.mobile.spades.android
75,N/A,Dumb Ways to Die,August 18 2014,Medium Maturity,50000000 - 100000000,2.2 and up,N/A,Casual,Metro Trains,https://play.google.com/store/apps/details?id=air.au.com.metro.DumbWaysToDie,air.au.com.metro.DumbWaysToDie
98,N/A,Smash Hit,April 9 2015,1.3.4,49M,10000000 - 50000000,Everyone,Arcade,Mediocre,https://play.google.com/store/apps/details?id=com.mediocre.smashhit,com.mediocre.smashhit
100,N/A,PAC-MAN +Tournaments,March 31 2015,1.1.6,35M,10000000 - 50000000,Low Maturity,Arcade,BANDAI NAMCO Entertainment America Inc.,https://play.google.com/store/apps/details?id=com.namcobandaigames.pacmantournaments,com.namcobandaigames.pacmantournaments
82,N/A,Five Nights at Freddy's 2 Demo,November 15 2014,1.07,40M,10000000 - 50000000,Medium Maturity,Strategy,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf2demo,com.scottgames.fnaf2demo
94,N/A,MARVEL Contest of Champions,May 8 2015,3.0.1,408M,10000000 - 50000000,Medium Maturity,Action,Kabam,https://play.google.com/store/apps/details?id=com.kabam.marvelbattle,com.kabam.marvelbattle
62,N/A,Slot Machines by IGG,April 24 2015,1.6.9,21M,10000000 - 50000000,Medium Maturity,Casino,IGG.COM,https://play.google.com/store/apps/details?id=com.igg.bzbee.slotsdeluxe,com.igg.bzbee.slotsdeluxe
115,N/A,Paper Toss,January 28 2013,Varies with device,Varies with device,50000000 - 100000000,Low Maturity,Casual,Backflip Studios Inc.,https://play.google.com/store/apps/details?id=com.bfs.papertoss,com.bfs.papertoss
