ApkName,LatestVersionOnGooglePlay
AutomateIt.mainPackage-1.apk, 3.0.157  
air.com.cygnecode.fat-1.apk, 5.3  
at.asfinag.unterwegs-1.apk, 3.4.1  
at.billa.service-1.apk, 4.20.5  
at.bluesource.instantJobs-1.apk, 1.2  
at.orf.sport.fussball-1.apk, 1.1  
at.spardat.netbanking-1.apk, v1.8.2  
au.com.aussiecommerce.livingsocial-1.apk, 1.1  
au.com.catchoftheday.android-1.apk, 1.3.2  
au.gov.dhs.childsupport-1.apk, 1.1.0  
be.appsolution.lesoir-1.apk, 3.0.5  
be.vrt.mobile.android.sporza.voetbal-1.apk, 1.9  
br.com.brainweb.ifood-1.apk,   Varies with device  
br.com.golmobile.placaruol-1.apk,   Varies with device  
br.gov.datasus.cnsdigital-1.apk, 1.0.0  
br.gov.inep.rnc-1.apk, 1.3.4  
ch.ethz.im.codecheck-1.apk,   Varies with device  
ch.fixxpunkt.watson-1.apk, 2.0.2  
ch.iomedia.laliberte-1.apk, 2.0.2  
ch.local.android-1.apk,   Varies with device  
ch.srf.mobile.srfplayer-1.apk, 2.0.132  
ch.tutti-1.apk,   Varies with device  
cl.cruzados-1.apk, 1.3.3  
club.pixelbox.instasquare-1.apk, 1.6.0  
com.Classting-1.apk,   Varies with device  
com.CoolTV-1.apk, 3.70  
com.abaenglish.videoclass-1.apk,   Varies with device  
com.abifong.mfxssc-1.apk, 1.6.5  
com.abtnprojects.ambatana-1.apk, 1.3.12  
com.acapelagroup.android.tts-1.apk, 5.0.0.1  
com.acmeaom.android.myradar-1.apk,   Varies with device  
com.addcn.android.house591-1.apk, 2.5.5  
com.addcn.newcar8891-1.apk, 1.13.0  
com.adidas.micoach-1.apk, 4.0.35a7734  
com.adopteunmec.androidfr-1.apk, 3.6.5  
com.aerofly.aerofly2android-1.apk, 2.2.3  
com.agilys.myshopi-1.apk, 5.3.7  
com.airfrance.android.dinamoprd-1.apk, 1.11.0  
com.ajnsnewmedia.kitchenstories-1.apk, 2.1.0A  
com.allunite-1.apk, 2.5  
com.alternativeindustries.piccolericette-1.apk, 2.6.1  
