ApkName,LatestVersionOnGooglePlay
com.FDGEntertainment.BeyondYnth-1.apk, 1.9  
com.GoldenTricycle.ClarcPrem-1.apk,   Varies with device  
com.brianbaek.popstar-1.apk,N/A
com.dotemu.ddtrilogy-1.apk, 1.6.4  
com.halfbrick.ageofzombies-1.apk, 1.2.8  
com.roadhousegames.carnage-1.apk, 199970  
com.tencent.Alice-1.apk,N/A
com.tencent.Q108-1.apk,N/A
com.tencent.Qfarm-1.apk,N/A
com.tencent.castleclash-1.apk,N/A
com.tencent.fruitninja-1.apk,N/A
com.tencent.game.SSGame-1.apk,N/A
com.tencent.game.VXDGame-1.apk,N/A
com.tencent.king.candycrushsaga-1.apk,N/A
com.tencent.kittypong-1.apk,N/A
com.tencent.modoomarble-1.apk,N/A
com.tencent.myelf-1.apk,N/A
com.tencent.nmrq-1.apk,N/A
com.tencent.qmdgs-1.apk,N/A
com.tencent.qqgame.qqTexaswvga-1.apk, v3.1  
com.tencent.tmgp.MiniEmpire-1.apk,N/A
com.tencent.tmgp.SevenHegemony-1.apk,N/A
com.tencent.tmgp.hsxy-1.apk,N/A
com.tencent.tmgp.madhead.tos-1.apk,N/A
com.tencent.tmgp.sgzr-1.apk,N/A
com.tencent.tmgp.ttlz-1.apk,N/A
com.tencent.tmgp.vdefense-1.apk,N/A
com.tencent.tmgp.zhanxian-1.apk,N/A
com.tencent.west-1.apk,N/A
